1;Stadio Giuseppe Meazza;Milano;75.923;2;45
2;Stadio Olimpico;Roma;73.261;2;41
3;Stadio San Nicola;Bari;58.270;2;43
4;Stadio Diego Armando Maradona;Napoli;54.726;2;48
5;Stadio Artemio Franchi;Firenze;47.282;2;41
6;Allianz Stadium;Torino;41.507;2;43
7;Stadio Marcantonio Bentegodi;Verona;39.211;2;41
8;Stadio San Filippo-Franco Scoglio;Messina;38.722;3;50
9;Stadio Renato Dall'Ara;Bologna;36.462;3;56
10;Stadio Renzo Barbera;Palermo;36.365;2;37
11;Stadio Luigi Ferraris;Genova;36.348;2;48
12;Stadio Ettore Giardiniero-Via del Mare;Lecce;31.559;2;42
13;Stadio Arechi;Salerno;29.739;2;37
14;Stadio Nereo Rocco;Trieste;28.565;2;36
15;Stadio Olimpico Grande Torino;Torino;28.177;2;41
16;Stadio Renato Curi;Perugia;28.000;2;41
17;Stadio Oreste Granillo;Reggio Calabria;26.343;2;41
18;Stadio Partenio-Adriano Lombardi;Avellino;26.308;2;35
19;Stadio Friuli;Udine;25.144;2;45
20;Stadio Pino Zaccheria;Foggia;25.085;2;40
21;Stadio Nuovo Romagnoli;Campobasso;25.000;2;38
22;Stadio San Vito Gigi Marulla;Cosenza;24.479;2;35
23;Orogel Stadium-Dino Manuzzi;Cesena;23.860;2;49
24;Gewiss Stadium;Bergamo;22.512;2;47
25;Stadio Ennio Tardini;Parma;22.352;2;38
26;Stadio Libero Liberati;Terni;22.000;2;31
27;Stadio Leonardo Garilli;Piacenza;21.668;2;49
28;Mapei Stadium;Reggio Emilia;21.584;2;40
29;Stadio Alberto Braglia;Modena;21.151;2;41
30;Stadio Cino e Lillo Del Duca;Ascoli Piceno;20.550;2;49
31;Unipol Arena;Casalecchio di Reno;20.000;3;93
32;Palasport Olimpico;Torino;15.657;3;82
33;Mediolanum Forum;Assago;12.331;3;82
34;Palazzo dello Sport;Roma;11.500;3;82
35;Palazzetto dello Sport;Pesaro;10.323;3;81
36;PalaCalafiore;Reggio Calabria;8.450;3;80
37;Virtus Segafredo Arena;Bologna;8.970;3;76
38;Palazzo a Vela;Torino;8.244;3;76
39;Modigliani Forum;Livorno;8.033;3;75
40;PalaSele;Eboli;8.000;2;73
41;Nelson Mandela Forum;Firenze;7.800;2;72
42;Palaonda;Bolzano;7.220;2;71
43;PalaMaggiò;Caserta;7.050;2;71
44;PalaTrieste;Trieste;6.943;2;71
45;PalaDesio;Desio;6.700;2;70
46;PalaFlorio;Bari;6.150;2;69
47;PalaTupparello;Acireale;6.100;2;69
48;PalaOlimpia;Verona;6.000;2;68
49;Palasport Fondo Patti;Palermo;6.000;2;68
50;PalaGalassi;Forlì;5.676;2;68
51;PalaDozza;Bologna;5.570;2;67
52;PalaBarbuto;Napoli;5.500;2;67
53;Palasport Mens Sana;Siena;5.500;2;67
54;105 Stadium;Genova;5.500;2;66
55;Palalido;Milano;5.420;2;66
56;PalaVerde;Villorba;5.344;2;65
57;Palasport Giacomo Del Mauro;Avellino;5.300;2;65
58;PalaLeonessa;Brescia;5.250;2;65
59;PalaTerme;Montecatini Terme;5.196;2;65
60;Palasport Lino Oldrini;Varese;5.107;2;63
61;PalaRossini;Ancona;5.066;2;61
62;Palazzo Wanny;Firenze;5.000;2;56
